Categoria,Modelo,Cor,Armazenamento,Preco,Disponivel,ID,Parcelas,Valor Parcela
iPhone,iPhone 17 Pro Max,Prata,256GB,14999,SIM,17promax-silver,,
iPhone,iPhone 17 Pro Max,Prata,512GB,16499,SIM,17promax-silver,,
iPhone,iPhone 17 Pro Max,Prata,1TB,18999,SIM,17promax-silver,,
iPhone,iPhone 17 Pro Max,Prata,2TB,21999,SIM,17promax-silver,,
iPhone,iPhone 17 Pro Max,Azul Profundo,256GB,14999,SIM,17promax-deepblue,,
iPhone,iPhone 17 Pro Max,Azul Profundo,512GB,16499,SIM,17promax-deepblue,,
iPhone,iPhone 17 Pro Max,Azul Profundo,1TB,18999,NAO,17promax-deepblue,,
iPhone,iPhone 17 Pro Max,Azul Profundo,2TB,21999,NAO,17promax-deepblue,,
iPhone,iPhone 17 Pro Max,Laranja Cósmico,256GB,14999,SIM,17promax-cosmicorange,,
iPhone,iPhone 17 Pro Max,Laranja Cósmico,512GB,16499,SIM,17promax-cosmicorange,,
iPhone,iPhone 17 Pro Max,Laranja Cósmico,1TB,18999,SIM,17promax-cosmicorange,,
iPhone,iPhone 17 Pro Max,Laranja Cósmico,2TB,21999,NAO,17promax-cosmicorange,,
iPhone,iPhone 17 Pro,Prata,256GB,12499,SIM,17pro-silver,,
iPhone,iPhone 17 Pro,Prata,512GB,13999,SIM,17pro-silver,,
iPhone,iPhone 17 Pro,Prata,1TB,15999,SIM,17pro-silver,,
iPhone,iPhone 17 Pro,Azul Profundo,256GB,12499,SIM,17pro-deepblue,,
iPhone,iPhone 17 Pro,Azul Profundo,512GB,13999,SIM,17pro-deepblue,,
iPhone,iPhone 17 Pro,Azul Profundo,1TB,15999,SIM,17pro-deepblue,,
iPhone,iPhone 17 Pro,Laranja Cósmico,256GB,12499,SIM,17pro-cosmicorange,,
iPhone,iPhone 17 Pro,Laranja Cósmico,512GB,13999,SIM,17pro-cosmicorange,,
iPhone,iPhone 17 Pro,Laranja Cósmico,1TB,15999,NAO,17pro-cosmicorange,,
iPhone,iPhone 17,Preto,256GB,9999,SIM,17-black,,
iPhone,iPhone 17,Preto,512GB,11499,SIM,17-black,,
iPhone,iPhone 17,Branco,256GB,9999,SIM,17-white,,
iPhone,iPhone 17,Branco,512GB,11499,SIM,17-white,,
iPhone,iPhone 17,Lavanda,256GB,9999,SIM,17-lavender,,
iPhone,iPhone 17,Lavanda,512GB,11499,NAO,17-lavender,,
iPhone,iPhone 17,Sálvia,256GB,9999,SIM,17-sage,,
iPhone,iPhone 17,Sálvia,512GB,11499,SIM,17-sage,,
iPhone,iPhone 17,Azul Névoa,256GB,9999,SIM,17-mistblue,,
iPhone,iPhone 17,Azul Névoa,512GB,11499,SIM,17-mistblue,,
iPhone,iPhone 16 Pro Max,Titânio Deserto,256GB,12999,SIM,16promax-desert,,
iPhone,iPhone 16 Pro Max,Titânio Deserto,512GB,14499,SIM,16promax-desert,,
iPhone,iPhone 16 Pro Max,Titânio Deserto,1TB,16999,SIM,16promax-desert,,
iPhone,iPhone 16 Pro Max,Titânio Preto,256GB,12999,SIM,16promax-black,,
iPhone,iPhone 16 Pro Max,Titânio Preto,512GB,14499,SIM,16promax-black,,
iPhone,iPhone 16 Pro Max,Titânio Preto,1TB,16999,SIM,16promax-black,,
iPhone,iPhone 16 Pro Max,Titânio Branco,256GB,12999,SIM,16promax-white,,
iPhone,iPhone 16 Pro Max,Titânio Branco,512GB,14499,SIM,16promax-white,,
iPhone,iPhone 16 Pro Max,Titânio Branco,1TB,16999,SIM,16promax-white,,
iPhone,iPhone 16 Pro Max,Titânio Natural,256GB,12999,SIM,16promax-natural,,
iPhone,iPhone 16 Pro Max,Titânio Natural,512GB,14499,SIM,16promax-natural,,
iPhone,iPhone 16 Pro Max,Titânio Natural,1TB,16999,SIM,16promax-natural,,
iPhone,iPhone 16 Pro,Titânio Deserto,128GB,10499,SIM,16pro-desert,,
iPhone,iPhone 16 Pro,Titânio Deserto,256GB,11499,SIM,16pro-desert,,
iPhone,iPhone 16 Pro,Titânio Deserto,512GB,12999,SIM,16pro-desert,,
iPhone,iPhone 16 Pro,Titânio Deserto,1TB,14999,SIM,16pro-desert,,
iPhone,iPhone 16 Pro,Titânio Preto,128GB,10499,SIM,16pro-black,,
iPhone,iPhone 16 Pro,Titânio Preto,256GB,11499,SIM,16pro-black,,
iPhone,iPhone 16 Pro,Titânio Preto,512GB,12999,SIM,16pro-black,,
iPhone,iPhone 16 Pro,Titânio Preto,1TB,14999,NAO,16pro-black,,
iPhone,iPhone 16 Pro,Titânio Branco,128GB,10499,SIM,16pro-white,,
iPhone,iPhone 16 Pro,Titânio Branco,256GB,11499,SIM,16pro-white,,
iPhone,iPhone 16 Pro,Titânio Branco,512GB,12999,SIM,16pro-white,,
iPhone,iPhone 16 Pro,Titânio Branco,1TB,14999,SIM,16pro-white,,
iPhone,iPhone 16 Pro,Titânio Natural,128GB,10499,SIM,16pro-natural,,
iPhone,iPhone 16 Pro,Titânio Natural,256GB,11499,SIM,16pro-natural,,
iPhone,iPhone 16 Pro,Titânio Natural,512GB,12999,SIM,16pro-natural,,
iPhone,iPhone 16 Pro,Titânio Natural,1TB,14999,SIM,16pro-natural,,
iPhone,iPhone 16 Plus,Preto,128GB,8999,SIM,16plus-black,,
iPhone,iPhone 16 Plus,Preto,256GB,9999,SIM,16plus-black,,
iPhone,iPhone 16 Plus,Preto,512GB,11499,SIM,16plus-black,,
iPhone,iPhone 16 Plus,Ultramarino,128GB,8999,SIM,16plus-ultramarine,,
iPhone,iPhone 16 Plus,Ultramarino,256GB,9999,SIM,16plus-ultramarine,,
iPhone,iPhone 16 Plus,Ultramarino,512GB,11499,SIM,16plus-ultramarine,,
iPhone,iPhone 16 Plus,Azul-petróleo,128GB,8999,SIM,16plus-teal,,
iPhone,iPhone 16 Plus,Azul-petróleo,256GB,9999,SIM,16plus-teal,,
iPhone,iPhone 16 Plus,Azul-petróleo,512GB,11499,NAO,16plus-teal,,
iPhone,iPhone 16 Plus,Rosa,128GB,8999,SIM,16plus-pink,,
iPhone,iPhone 16 Plus,Rosa,256GB,9999,SIM,16plus-pink,,
iPhone,iPhone 16 Plus,Rosa,512GB,11499,SIM,16plus-pink,,
iPhone,iPhone 16 Plus,Branco,128GB,8999,SIM,16plus-white,,
iPhone,iPhone 16 Plus,Branco,256GB,9999,SIM,16plus-white,,
iPhone,iPhone 16 Plus,Branco,512GB,11499,SIM,16plus-white,,
iPhone,iPhone 16,Preto,128GB,7499,SIM,16-black,,
iPhone,iPhone 16,Preto,256GB,8499,SIM,16-black,,
iPhone,iPhone 16,Preto,512GB,9999,SIM,16-black,,
iPhone,iPhone 16,Ultramarino,128GB,7499,SIM,16-ultramarine,,
iPhone,iPhone 16,Ultramarino,256GB,8499,SIM,16-ultramarine,,
iPhone,iPhone 16,Ultramarino,512GB,9999,SIM,16-ultramarine,,
iPhone,iPhone 16,Azul-petróleo,128GB,7499,SIM,16-teal,,
iPhone,iPhone 16,Azul-petróleo,256GB,8499,SIM,16-teal,,
iPhone,iPhone 16,Azul-petróleo,512GB,9999,NAO,16-teal,,
iPhone,iPhone 16,Rosa,128GB,7499,SIM,16-pink,,
iPhone,iPhone 16,Rosa,256GB,8499,SIM,16-pink,,
iPhone,iPhone 16,Rosa,512GB,9999,SIM,16-pink,,
iPhone,iPhone 16,Branco,128GB,7499,SIM,16-white,,
iPhone,iPhone 16,Branco,256GB,8499,SIM,16-white,,
iPhone,iPhone 16,Branco,512GB,9999,SIM,16-white,,
iPhone,iPhone 15 Pro Max,Titânio Preto,256GB,9499,SIM,15promax-blacktitanium,,
iPhone,iPhone 15 Pro Max,Titânio Preto,512GB,10999,SIM,15promax-blacktitanium,,
iPhone,iPhone 15 Pro Max,Titânio Preto,1TB,12499,SIM,15promax-blacktitanium,,
