Categoria,Modelo,Armazenamento,Preco,Parcelas,Valor Parcela
iPhone,iPhone 17 Pro Max,256GB,14999,,
iPhone,iPhone 17 Pro Max,512GB,16499,,
iPhone,iPhone 17 Pro Max,1TB,18999,,
iPhone,iPhone 17 Pro Max,2TB,21999,,
iPhone,iPhone 17 Pro,256GB,12499,,
iPhone,iPhone 17 Pro,512GB,13999,,
iPhone,iPhone 17 Pro,1TB,15999,,
iPhone,iPhone 17,256GB,9999,,
iPhone,iPhone 17,512GB,11499,,
iPhone,iPhone 16 Pro Max,256GB,12999,,
iPhone,iPhone 16 Pro Max,512GB,14499,,
iPhone,iPhone 16 Pro Max,1TB,16999,,
iPhone,iPhone 16 Pro,128GB,10499,,
iPhone,iPhone 16 Pro,256GB,11499,,
iPhone,iPhone 16 Pro,512GB,12999,,
iPhone,iPhone 16 Pro,1TB,14999,,
iPhone,iPhone 16 Plus,128GB,8999,,
iPhone,iPhone 16 Plus,256GB,9999,,
iPhone,iPhone 16 Plus,512GB,11499,,
iPhone,iPhone 16,128GB,7499,,
iPhone,iPhone 16,256GB,8499,,
iPhone,iPhone 16,512GB,9999,,
iPhone,iPhone 15 Pro Max,256GB,9499,,
iPhone,iPhone 15 Pro Max,512GB,10999,,
iPhone,iPhone 15 Pro Max,1TB,12499,,
iPhone,iPhone 15 Pro,128GB,7499,,
iPhone,iPhone 15 Pro,256GB,8499,,
iPhone,iPhone 15 Pro,512GB,9999,,
iPhone,iPhone 15 Pro,1TB,11499,,
iPhone,iPhone 15,128GB,4999,,
iPhone,iPhone 15,256GB,5999,,
iPhone,iPhone 15,512GB,7499,,
iPhone,iPhone 14 Pro Max,128GB,5999,,
iPhone,iPhone 14 Pro Max,256GB,6999,,
iPhone,iPhone 14 Pro Max,512GB,8499,,
iPhone,iPhone 14 Pro Max,1TB,9999,,
iPhone,iPhone 14 Pro,128GB,4999,,
iPhone,iPhone 14 Pro,256GB,5799,,
iPhone,iPhone 14 Pro,512GB,7299,,
iPhone,iPhone 14 Pro,1TB,8799,,
iPhone,iPhone 14,128GB,3299,,
iPhone,iPhone 14,256GB,3999,,
iPhone,iPhone 14,512GB,4999,,
iPhone,iPhone 13,128GB,2799,,
iPhone,iPhone 13,256GB,3299,,
iPhone,iPhone 13,512GB,4299,,
iPad,iPad 10,64GB,3499,,
iPad,iPad 10,256GB,4299,,
iPad,iPad 11 A16,128GB,4999,,
iPad,iPad 11 A16,256GB,5999,,
iPad,iPad 11 A16,512GB,7499,,
